"rose_fanfic" "anne_fanfic" "anonymous_fanfic"
"the" 3.27653997378768 2.87958115183246 3.73778033352501
"he" 2.94888597640891 3.59947643979058 2.87521564117309
"to" 2.55570117955439 2.87958115183246 2.30017251293847
"and" 2.62123197903014 1.96335078534031 2.30017251293847
"i" 2.16251638269987 0.392670157068063 2.99022426682001
"you" 2.42463958060288 1.17801047120419 1.84013801035078
"a" 1.90039318479685 1.37434554973822 2.01265094882116
"t" 1.44167758846658 1.96335078534031 1.26509488211616
"harry" 0.851900393184797 3.33769633507853 0.460034502587694
"said" 1.11402359108781 0.719895287958115 2.41518113858539
"it" 0.982961992136304 2.29057591623037 1.03507763082231
"of" 1.50720838794233 0.916230366492147 1.38010350776308
"his" 1.17955439056356 1.37434554973822 1.2075905692927
"s" 1.17955439056356 1.57068062827225 0.97757331799885
"in" 1.31061598951507 0.981675392670157 1.2075905692927
"was" 0.786369593709043 1.50523560209424 1.2075905692927
"that" 1.50720838794233 1.37434554973822 0.575043128234618
"sirius" 0 1.57068062827225 1.66762507188039
"at" 0.786369593709043 0.654450261780105 1.49511213341001
"be" 0.655307994757536 1.04712041884817 1.03507763082231
"had" 0.655307994757536 0.850785340314136 0.747556066705003
"him" 0.524246395806029 0.261780104712042 1.26509488211616
"her" 1.70380078636959 0 0.402530189764232
"she" 1.70380078636959 0 0.402530189764232
"james" 0 0 1.78263369752731
"so" 0.458715596330275 0.785340314136126 0.632547441058079
"but" 0.393184796854522 0.719895287958115 0.632547441058079
"lily" 0.786369593709043 0 0.920069005175388
"as" 0.655307994757536 0.196335078534031 0.805060379528465
"with" 0.589777195281782 0.719895287958115 0.402530189764232
"they" 0.917431192660551 0.327225130890052 0.402530189764232
"up" 0.393184796854522 0.719895287958115 0.402530189764232
"not" 0.72083879423329 0.392670157068063 0.345025876940771
"d" 0.262123197903014 0.916230366492147 0.230017251293847
"if" 0.393184796854522 0.589005235602094 0.402530189764232
"remus" 0 0.850785340314136 0.517538815411156
"just" 0.786369593709043 0.458115183246073 0.115008625646924
"on" 0.393184796854522 0.392670157068063 0.517538815411156
"them" 0.655307994757536 0.261780104712042 0.402530189764232
"would" 0.458715596330275 0.523560209424084 0.345025876940771
"could" 0.0655307994757536 1.04712041884817 0.172512938470385
"what" 0.458715596330275 0.589005235602094 0.230017251293847
"all" 0.393184796854522 0.327225130890052 0.460034502587694
"for" 0.458715596330275 0.458115183246073 0.287521564117309
"lupin" 0 1.2434554973822 0
"mr" 0 1.2434554973822 0
"always" 0.524246395806029 0.654450261780105 0
"don" 0.458715596330275 0.130890052356021 0.517538815411156
"like" 0.327653997378768 0.392670157068063 0.402530189764232
"me" 0.458715596330275 0.261780104712042 0.402530189764232
"or" 0.524246395806029 0.458115183246073 0.172512938470385
"didn" 0.131061598951507 0.654450261780105 0.287521564117309
"do" 0.327653997378768 0.392670157068063 0.287521564117309
"even" 0.0655307994757536 0.850785340314136 0.115008625646924
"know" 0.655307994757536 0.0654450261780105 0.287521564117309
"looked" 0.262123197903014 0.196335078534031 0.517538815411156
"about" 0.327653997378768 0.589005235602094 0.0575043128234618
"have" 0.72083879423329 0.0654450261780105 0.172512938470385
"no" 0.131061598951507 0.196335078534031 0.575043128234618
"want" 0.131061598951507 0.261780104712042 0.517538815411156
"were" 0.327653997378768 0.261780104712042 0.345025876940771
"ll" 0.0655307994757536 0.327225130890052 0.460034502587694
"out" 0.262123197903014 0.261780104712042 0.345025876940771
"really" 0.327653997378768 0.196335078534031 0.345025876940771
"room" 0.0655307994757536 0.654450261780105 0.172512938470385
"there" 0.196592398427261 0.458115183246073 0.230017251293847
"been" 0.393184796854522 0.261780104712042 0.172512938470385
"down" 0.0655307994757536 0.327225130890052 0.402530189764232
"how" 0.262123197903014 0.261780104712042 0.287521564117309
"m" 0.327653997378768 0.0654450261780105 0.402530189764232
"see" 0.262123197903014 0.458115183246073 0.115008625646924
"can" 0.393184796854522 0.0654450261780105 0.287521564117309
"head" 0.262123197903014 0.327225130890052 0.172512938470385
"quiet" 0 0.589005235602094 0.172512938470385
"then" 0.131061598951507 0.261780104712042 0.345025876940771
"back" 0.262123197903014 0 0.402530189764232
"being" 0.196592398427261 0.458115183246073 0.0575043128234618
"get" 0.327653997378768 0.261780104712042 0.115008625646924
"is" 0.131061598951507 0.261780104712042 0.287521564117309
"knew" 0.327653997378768 0.196335078534031 0.172512938470385
"look" 0.0655307994757536 0.0654450261780105 0.517538815411156
"one" 0 0.458115183246073 0.230017251293847
"peter" 0 0 0.632547441058079
"though" 0.0655307994757536 0.327225130890052 0.287521564117309
"we" 0.0655307994757536 0.261780104712042 0.345025876940771
"well" 0.196592398427261 0.261780104712042 0.230017251293847
"asked" 0.327653997378768 0.130890052356021 0.172512938470385
"boy" 0.393184796854522 0 0.230017251293847
"ever" 0.196592398427261 0.327225130890052 0.115008625646924
"from" 0.131061598951507 0.327225130890052 0.172512938470385
"into" 0.131061598951507 0.196335078534031 0.287521564117309
"re" 0.327653997378768 0 0.287521564117309
"say" 0.131061598951507 0.196335078534031 0.287521564117309
"when" 0.0655307994757536 0.458115183246073 0.115008625646924
"after" 0.131061598951507 0.261780104712042 0.172512938470385
"an" 0.131061598951507 0.196335078534031 0.230017251293847
"baby" 0 0 0.517538815411156
