participant_id,control_questions,attribution,round,category1,category2,category3
1,TRUE,Rose,1,,,
2,TRUE,Rose,1,dialogues,,
3,TRUE,Rose,1,dialogues,,
4,TRUE,Anne,1,dialogues,characters,
5,TRUE,Anne,1,stylistics,,
6,TRUE,Rose,1,knowledge,stylistics,
7,TRUE,Rose,1,dialogues,,
8,TRUE,Anne,1,,,
9,TRUE,Anne,1,characters,,
10,TRUE,Rose,1,,,
11,TRUE,Anne,1,,,
12,TRUE,Anne,1,stylistics,,
13,TRUE,Anne,1,content,stylistics,
14,TRUE,Rose,1,dialogues,,
15,TRUE,Anne,1,content,dialogues,
16,TRUE,Anne,1,characters,,
17,FALSE,Rose,1,,,
18,FALSE,Rose,1,,,
19,TRUE,Rose,1,stylistics,dialogues,content
20,TRUE,Anne,1,,,
21,TRUE,Anne,1,focus,,
22,TRUE,Anne,1,,,
23,TRUE,Rose,1,,,
24,TRUE,Rose,1,stylistics,,
25,FALSE,Rose,1,,,
26,TRUE,Rose,1,dialogues,,
27,TRUE,Anne,1,content,characters,
28,TRUE,Anne,1,stylistics,,
29,FALSE,Anne,1,,,
30,TRUE,Rose,1,stylistics,,
31,TRUE,Anne,1,,,
32,TRUE,Rose,1,,,
33,TRUE,Anne,1,focus,,
34,TRUE,Anne,1,,,
35,TRUE,Anne,1,structure,dialogues,
36,TRUE,Anne,1,characters,,
37,TRUE,Rose,1,stylistics,,
38,TRUE,Rose,1,dialogues,,
39,TRUE,Anne,1,,,
40,TRUE,Rose,2,dialogues,,
41,TRUE,Anne,2,stylistics,,
42,TRUE,Rose,2,,,
43,TRUE,Rose,2,stylistics,dialogues,
44,FALSE,Anne,2,,,
45,TRUE,Rose,2,dialogues,stylistics,content
46,TRUE,Anne,2,descriptions,,
47,TRUE,Anne,2,content,,
48,TRUE,Anne,2,,,
49,TRUE,Rose,2,dialogues,,
50,TRUE,Rose,2,,,
51,FALSE,Rose,2,,,
52,TRUE,Rose,2,,,
53,TRUE,Rose,2,,,
54,TRUE,Rose,2,dialogues,stylistics,
55,TRUE,Anne,2,content,,
56,TRUE,Rose,2,stylistics,,
57,TRUE,Rose,2,dialogues,,
58,TRUE,Anne,2,content,characters,stylistics
59,FALSE,Rose,2,,,
60,FALSE,Rose,2,,,
61,TRUE,Rose,2,,,
62,TRUE,Anne,2,,,
63,TRUE,Rose,2,,,
64,FALSE,Rose,2,dialogues,,
65,TRUE,Anne,2,,,
66,FALSE,Rose,2,,,
67,TRUE,Rose,2,focus,,
68,TRUE,Rose,2,,,
69,TRUE,Rose,2,stylistics,,
70,TRUE,Rose,2,dialogues,,
71,TRUE,Rose,2,,,
72,TRUE,Rose,2,,,
73,TRUE,Anne,2,stylistics,structure,
74,FALSE,Rose,2,stylistics,,
75,TRUE,Rose,2,stylistics,,
76,TRUE,Rose,2,stylistics,,
77,TRUE,Rose,2,,,
78,TRUE,Rose,2,,,
79,TRUE,Rose,2,,,
80,TRUE,Rose,2,stylistics,dialogues,
81,FALSE,Rose,2,characters,,
82,TRUE,Anne,2,content,,
83,TRUE,Rose,2,dialogues,stylistics,
84,TRUE,Anne,3,content,,
85,TRUE,Anne,3,,,
86,TRUE,Rose,3,,,
87,TRUE,Anne,3,structure,stylistics,
88,FALSE,Anne,3,,,
89,TRUE,Rose,3,,,
90,TRUE,Rose,3,,,
91,TRUE,Rose,3,dialogues,,
92,TRUE,Rose,3,,,
93,TRUE,Anne,3,,,
94,TRUE,Anne,3,descriptions,,
95,TRUE,Rose,3,stylistics,,
96,TRUE,Rose,4,,,
97,TRUE,Rose,4,,,
98,TRUE,Anne,4,,,
99,TRUE,Rose,4,content,stylistics,
100,TRUE,Anne,4,structure,stylistics,
101,TRUE,Rose,4,descriptions,content,
102,TRUE,Rose,4,,,
103,TRUE,Anne,4,focus,stylistics,
104,TRUE,Anne,4,content,,
105,TRUE,Anne,4,descriptions,,
106,TRUE,Anne,4,,,
107,TRUE,Rose,4,,,
108,TRUE,Rose,4,dialogues,,
109,TRUE,Rose,4,stylistics,,
110,TRUE,Rose,4,,,
111,TRUE,Rose,4,content,focus,
112,TRUE,Rose,4,structure,,
113,TRUE,Anne,4,focus,,
114,TRUE,Rose,4,,,
115,TRUE,Rose,4,,,
116,FALSE,Rose,4,stylistics,,
117,TRUE,Rose,4,,,
118,TRUE,Rose,4,focus,,
119,FALSE,Rose,4,,,
120,TRUE,Rose,4,content,knowledge,
121,TRUE,Anne,4,content,,
122,TRUE,Anne,4,,,
123,TRUE,Rose,4,content,stylistics,
124,TRUE,Anne,4,,,
125,TRUE,Anne,4,,,
126,TRUE,Rose,4,stylistics,knowledge,
127,TRUE,Rose,4,stylistics,dialogues,
128,TRUE,Anne,4,,,
129,FALSE,Anne,5,stylistics,content,
130,TRUE,Rose,5,,,
131,TRUE,Anne,5,,,
132,FALSE,Rose,5,stylistics,,
133,TRUE,Rose,5,,,
134,FALSE,Rose,5,dialogues,,
135,TRUE,Anne,5,content,characters,
136,TRUE,Anne,5,,,
137,TRUE,Rose,5,stylistics,,
138,TRUE,Rose,5,stylistics,,
139,TRUE,Rose,5,content,,
140,TRUE,Rose,5,dialogues,stylistics,
141,TRUE,Rose,5,stylistics,,
142,TRUE,Rose,5,,,
143,TRUE,Rose,5,stylistics,content,
144,TRUE,Rose,5,,,
145,TRUE,Rose,5,,,
146,TRUE,Anne,5,,,
147,TRUE,Rose,5,focus,,
148,TRUE,Anne,5,content,,
149,TRUE,Rose,5,,,
150,TRUE,Anne,5,,,
151,TRUE,Anne,5,,,
152,TRUE,Rose,5,stylistics,content,
153,TRUE,Anne,5,,,
154,FALSE,Rose,5,dialogues,,
155,TRUE,Rose,5,stylistics,,
156,FALSE,Rose,5,,,
157,TRUE,Rose,5,stylistics,,
158,TRUE,Anne,5,focus,content,
159,TRUE,Rose,5,focus,content,
160,TRUE,Rose,5,stylistics,structure,
161,TRUE,Rose,5,,,
162,TRUE,Rose,5,content,,
